,item_main_category,exclusivity_clean,sourcing_location,wh_flag_new,beta,beta_err,beta_one,beta_one_err
291,KINDER,thirdParty,EE,mto,0.228,0.013,0.242,0.049
292,KINDER,thirdParty,EE,wh,0.235,0.013,0.227,0.036
293,KINDER,thirdParty,EE,dropship,0.223,0.013,0.211,0.03
294,KINDER,thirdParty,Domestic,mto,0.2,0.013,0.221,0.049
295,KINDER,thirdParty,Domestic,wh,0.207,0.013,0.206,0.036
296,KINDER,thirdParty,Domestic,dropship,0.195,0.013,0.189,0.03
297,KINDER,ownDeveloped,Import,mto,0.322,0.013,0.34,0.049
298,KINDER,ownDeveloped,Import,wh,0.329,0.013,0.326,0.036
299,KINDER,ownDeveloped,Import,dropship,0.317,0.013,0.309,0.03
300,KINDER,ownDeveloped,EE,mto,0.256,0.013,0.273,0.049
301,KINDER,ownDeveloped,EE,wh,0.263,0.013,0.259,0.036
302,KINDER,ownDeveloped,EE,dropship,0.251,0.013,0.242,0.03
303,KINDER,ownDeveloped,Domestic,mto,0.228,0.013,0.252,0.049
304,KINDER,ownDeveloped,Domestic,wh,0.235,0.013,0.237,0.036
305,KINDER,ownDeveloped,Domestic,dropship,0.224,0.013,0.221,0.03
306,KINDER,whiteLabel,Import,mto,0.299,0.013,0.316,0.049
307,KINDER,whiteLabel,Import,wh,0.306,0.013,0.301,0.036
308,KINDER,whiteLabel,Import,dropship,0.295,0.013,0.284,0.03
309,KINDER,whiteLabel,EE,mto,0.233,0.013,0.249,0.049
310,KINDER,whiteLabel,EE,wh,0.24,0.013,0.234,0.036
311,KINDER,whiteLabel,EE,dropship,0.229,0.013,0.217,0.03
312,KINDER,whiteLabel,Domestic,mto,0.205,0.013,0.227,0.049
313,KINDER,whiteLabel,Domestic,wh,0.212,0.013,0.212,0.035
314,KINDER,whiteLabel,Domestic,dropship,0.201,0.013,0.196,0.03
315,FLURMÖBEL,exclusive,Import,mto,0.447,0.012,0.405,0.042
316,FLURMÖBEL,exclusive,Import,wh,0.453,0.012,0.461,0.032
317,FLURMÖBEL,exclusive,Import,dropship,0.442,0.012,0.427,0.028
318,FLURMÖBEL,exclusive,EE,mto,0.381,0.012,0.338,0.042
319,FLURMÖBEL,exclusive,EE,wh,0.388,0.012,0.394,0.032
320,FLURMÖBEL,exclusive,EE,dropship,0.376,0.012,0.36,0.028
321,FLURMÖBEL,exclusive,Domestic,mto,0.353,0.012,0.316,0.042
322,FLURMÖBEL,exclusive,Domestic,wh,0.36,0.012,0.372,0.032
