,item_main_category,exclusivity_clean,sourcing_location,wh_flag,beta,beta_err
420,HEIMTEXTILIEN,exclusive,Import,0,0.494,0.014
421,HEIMTEXTILIEN,exclusive,Import,1,0.458,0.014
422,HEIMTEXTILIEN,exclusive,EE,0,0.352,0.013
423,HEIMTEXTILIEN,exclusive,EE,1,0.317,0.013
424,HEIMTEXTILIEN,exclusive,Domestic,0,0.313,0.012
425,HEIMTEXTILIEN,exclusive,Domestic,1,0.278,0.012
426,HEIMTEXTILIEN,other,Import,0,0.424,0.015
427,HEIMTEXTILIEN,other,Import,1,0.389,0.015
428,HEIMTEXTILIEN,other,EE,0,0.283,0.014
429,HEIMTEXTILIEN,other,EE,1,0.247,0.013
430,HEIMTEXTILIEN,other,Domestic,0,0.244,0.013
431,HEIMTEXTILIEN,other,Domestic,1,0.208,0.013
432,HEIMTEXTILIEN,thirdParty,Import,0,0.413,0.015
433,HEIMTEXTILIEN,thirdParty,Import,1,0.378,0.015
434,HEIMTEXTILIEN,thirdParty,EE,0,0.272,0.014
435,HEIMTEXTILIEN,thirdParty,EE,1,0.237,0.013
436,HEIMTEXTILIEN,thirdParty,Domestic,0,0.233,0.013
437,HEIMTEXTILIEN,thirdParty,Domestic,1,0.198,0.013
438,HEIMTEXTILIEN,ownDeveloped,Import,0,0.486,0.015
439,HEIMTEXTILIEN,ownDeveloped,Import,1,0.45,0.015
440,HEIMTEXTILIEN,ownDeveloped,EE,0,0.344,0.014
441,HEIMTEXTILIEN,ownDeveloped,EE,1,0.309,0.014
442,HEIMTEXTILIEN,ownDeveloped,Domestic,0,0.305,0.014
443,HEIMTEXTILIEN,ownDeveloped,Domestic,1,0.27,0.013
444,HEIMTEXTILIEN,whiteLabel,Import,0,0.425,0.015
445,HEIMTEXTILIEN,whiteLabel,Import,1,0.39,0.015
446,HEIMTEXTILIEN,whiteLabel,EE,0,0.284,0.014
447,HEIMTEXTILIEN,whiteLabel,EE,1,0.248,0.013
448,HEIMTEXTILIEN,whiteLabel,Domestic,0,0.245,0.013
449,HEIMTEXTILIEN,whiteLabel,Domestic,1,0.21,0.013
