,item_main_category,exclusivity_clean,sourcing_location,wh_flag,beta,beta_err,beta_one,beta_one_err
326,GARTEN,whiteLabel,EE,0,0.211,0.014,0.249,0.021
327,GARTEN,whiteLabel,EE,1,0.175,0.014,0.204,0.026
328,GARTEN,whiteLabel,Domestic,0,0.172,0.013,0.227,0.021
329,GARTEN,whiteLabel,Domestic,1,0.137,0.013,0.182,0.026
330,KÜCHE,exclusive,Import,0,0.574,0.019,0.491,0.029
331,KÜCHE,exclusive,Import,1,0.538,0.019,0.436,0.041
332,KÜCHE,exclusive,EE,0,0.432,0.018,0.424,0.029
333,KÜCHE,exclusive,EE,1,0.397,0.018,0.369,0.041
334,KÜCHE,exclusive,Domestic,0,0.393,0.018,0.402,0.029
335,KÜCHE,exclusive,Domestic,1,0.358,0.017,0.347,0.041
336,KÜCHE,other,Import,0,0.504,0.02,0.475,0.029
337,KÜCHE,other,Import,1,0.469,0.019,0.421,0.041
338,KÜCHE,other,EE,0,0.362,0.019,0.409,0.029
339,KÜCHE,other,EE,1,0.327,0.018,0.354,0.041
340,KÜCHE,other,Domestic,0,0.324,0.018,0.387,0.029
341,KÜCHE,other,Domestic,1,0.288,0.018,0.332,0.041
342,KÜCHE,thirdParty,Import,0,0.493,0.02,0.461,0.029
343,KÜCHE,thirdParty,Import,1,0.458,0.019,0.406,0.041
344,KÜCHE,thirdParty,EE,0,0.352,0.019,0.394,0.029
345,KÜCHE,thirdParty,EE,1,0.316,0.018,0.339,0.041
346,KÜCHE,thirdParty,Domestic,0,0.313,0.018,0.372,0.029
347,KÜCHE,thirdParty,Domestic,1,0.278,0.018,0.317,0.041
348,KÜCHE,ownDeveloped,Import,0,0.565,0.02,0.491,0.029
349,KÜCHE,ownDeveloped,Import,1,0.53,0.02,0.437,0.041
350,KÜCHE,ownDeveloped,EE,0,0.424,0.019,0.424,0.029
351,KÜCHE,ownDeveloped,EE,1,0.389,0.019,0.37,0.041
352,KÜCHE,ownDeveloped,Domestic,0,0.385,0.019,0.402,0.029
