,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000008143,-0.0395,0.0062,0.0005,0.0007,12,True
000000001000110104,-0.0287,0.0053,-0.0028,0.0015,18,True
000000001000117274,-0.038,0.0051,-0.0021,0.0006,18,True
000000001000117672,-0.0864,0.0146,-0.0027,0.0017,12,True
000000001000121166,-0.0725,0.0132,-0.0009,0.0055,15,True
000000001000123818,-0.0292,0.007,-0.0008,0.0006,18,True
000000001000130658,-0.0429,0.0092,-0.001,0.0054,18,True
000000001000012676,-0.0361,0.0095,-0.0002,0.0006,12,True
000000001000024940,-0.0823,0.0188,-0.0125,0.0046,7,True
000000001000196399,-0.0666,0.0125,-0.0056,0.0038,15,True
000000001000016201,-0.033,0.0074,-0.0004,0.001,14,True
000000001000173135,-0.034,0.0068,-0.0007,0.0033,8,True
000000001000188888,-0.0541,0.0121,-0.0076,0.0018,10,True
000000001000153525,-0.0487,0.0089,0.0018,0.0009,8,True
000000001000167292,-0.0324,0.0058,-0.0001,0.0009,12,True
000000001000179473,-0.0405,0.0115,-0.0009,0.0011,12,True
000000001000183898,-0.0335,0.0074,0.0002,0.0004,19,True
000000001000166814,-0.0365,0.0084,-0.0039,0.0012,16,True
000000001000176576,-0.0338,0.0062,-0.0015,0.0007,17,True
000000001000127809,-0.0304,0.0046,0.0002,0.0003,14,True
000000001000188586,-0.0924,0.0158,-0.0173,0.0087,11,True
000000001000005213,-0.0309,0.0041,0.0001,0.0005,9,True
000000001000188579,-0.0832,0.0109,-0.0183,0.0044,9,True
000000001000007705,-0.0338,0.0057,0.0002,0.0002,14,True
000000001000065695,-0.0327,0.0055,0.0002,0.0003,18,True
000000001000087281,-0.0322,0.0066,-0.0032,0.0013,17,True
